,sample,collect_date,sample_type,sample_condition,sample_condition_abbrv,analyte,lab_name,result
748,NA,5/11/2021,PS,NA,NA,Fecal Coliform,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",22
749,NA,5/11/2021,PS,NA,NA,Fecal Coliform,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",131
750,NA,5/11/2021,PS,Field Duplicate,DUP,Fecal Coliform,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",13
751,NA,5/11/2021,PS,NA,NA,Fecal Coliform,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",5
752,NA,5/11/2021,PS,NA,NA,Fecal Coliform,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",16
753,NA,5/11/2021,PS,NA,NA,Fecal Coliform,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",3
754,NA,5/11/2021,PS,NA,NA,Fecal Coliform,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",6
755,NA,5/11/2021,PS,NA,NA,Fecal Coliform,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",9
756,NA,5/11/2021,PS,NA,NA,Fecal Coliform,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",38
757,NA,5/11/2021,PS,NA,NA,Fecal Coliform,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",8
758,NA,5/11/2021,PS,NA,NA,Fecal Coliform,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",9
759,NA,5/11/2021,PS,NA,NA,Fecal Coliform,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",2
760,NA,5/11/2021,PS,NA,NA,Fecal Coliform,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",13
761,NA,5/11/2021,PS,NA,NA,Fecal Coliform,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",21
762,NA,5/11/2021,PS,NA,NA,Fecal Coliform,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",17
763,NA,5/11/2021,PS,NA,NA,Fecal Coliform,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",7
764,NA,5/11/2021,PS,NA,NA,Fecal Coliform,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",1
765,NA,5/11/2021,PS,NA,NA,Fecal Coliform,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",2
766,NA,5/11/2021,PS,NA,NA,Fecal Coliform,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",NA
767,NA,5/11/2021,PS,NA,NA,Fecal Coliform,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",NA
768,NA,5/11/2021,PS,NA,NA,Fecal Coliform,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",NA
769,NA,5/11/2021,PS,NA,NA,Fecal Coliform,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",NA
770,NA,5/11/2021,PS,NA,NA,Fecal Coliform,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",NA
771,NA,5/11/2021,PS,Field Duplicate,DUP,Fecal Coliform,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",2
796,RM_0,5/11/2021,PS,NA,NA,Total suspended solids,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",14.33333333
797,RM_0,5/11/2021,PS,Field Duplicate,DUP,Total suspended solids,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",13.33333333
820,RM_0,7/27/2021,PS,NA,NA,Total suspended solids,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",4
821,RM_0,7/27/2021,PS,Field Duplicate,DUP,Total suspended solids,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",4.7
187,RM_0_No_Name_Creek,7/27/2021,PS,NA,NA,Total Nitrate/Nitrite-N,"SGS North America, Anchorage, Alaska",NA
188,RM_0_No_Name_Creek,7/27/2021,PS,NA,NA,Total Phosphorus,"SGS North America, Anchorage, Alaska",NA
189,RM_0_No_Name_Creek,7/27/2021,PS,NA,NA,Aluminum,"SGS North America, Anchorage, Alaska",NA
190,RM_0_No_Name_Creek,7/27/2021,PS,NA,NA,Antimony,"SGS North America, Anchorage, Alaska",NA
191,RM_0_No_Name_Creek,7/27/2021,PS,NA,NA,Arsenic,"SGS North America, Anchorage, Alaska",NA
192,RM_0_No_Name_Creek,7/27/2021,PS,NA,NA,Barium,"SGS North America, Anchorage, Alaska",11.9
193,RM_0_No_Name_Creek,7/27/2021,PS,NA,NA,Beryllium,"SGS North America, Anchorage, Alaska",NA
194,RM_0_No_Name_Creek,7/27/2021,PS,NA,NA,Cadmium,"SGS North America, Anchorage, Alaska",NA
195,RM_0_No_Name_Creek,7/27/2021,PS,NA,NA,Calcium,"SGS North America, Anchorage, Alaska",16200
196,RM_0_No_Name_Creek,7/27/2021,PS,NA,NA,Chromium,"SGS North America, Anchorage, Alaska",NA
197,RM_0_No_Name_Creek,7/27/2021,PS,NA,NA,Cobalt,"SGS North America, Anchorage, Alaska",NA
198,RM_0_No_Name_Creek,7/27/2021,PS,NA,NA,Copper,"SGS North America, Anchorage, Alaska",NA
199,RM_0_No_Name_Creek,7/27/2021,PS,NA,NA,Iron,"SGS North America, Anchorage, Alaska",527
200,RM_0_No_Name_Creek,7/27/2021,PS,NA,NA,Lead,"SGS North America, Anchorage, Alaska",NA
