latitude,longitude,location_id,location_name,,MonitoringLocationIdentifier,MonitoringLocationName,river_mile,tributary_mainstem,tributary_name
60.54368,-151.22294,KR RM 1.5,Kenai River - River Mile 1.5,,KENAI_WQX-10000002,KBL_m_01.5,1.5,mainstem,
60.54081,-151.18278,KR RM 6.5,Kenai River - Cunningham Park,,KENAI_WQX-10000005,KBL_m_06.5,6.5,mainstem,
60.539279,-151.142263,KR RM 10.1,Kenai River - River Mile 10.1,,KENAI_WQX-10000016,KBL_m_10.1,10.1,mainstem,
60.533743,-151.099258,KR RM 12.5,Kenai River - The Pillars Park,,KENAI_WQX-10000017,KBL_m_12.5,12.5,mainstem,
60.502005,-151.106973,KR RM 18,Kenai River - River Mile 18,,KENAI_WQX-10000018,KBL_m_18.0,18,mainstem,
60.476634,-151.082099,KR RM 21,Kenai River - River Mile 21,,KENAI_WQX-10000021,KBL_m_21.0,21,mainstem,
60.480338,-151.030847,KR RM 23,Kenai River - River Mile 23,,KENAI_WQX-10000023,KBL_m_23.0,23,mainstem,
60.498284,-150.863121,KR RM 31,Kenai River - River Mile 31,,KENAI_WQX-10000025,KBL_m_31.0,31,mainstem,
60.515441,-150.702069,KR RM 40,Kenai River - River Mile 40,,KENAI_WQX-10000027,KBL_m_40.0,40,mainstem,
60.489844,-150.636905,KR RM 43,Kenai River - River Mile 43,,KENAI_WQX-10000028,KBL_m_43.0,43,mainstem,
60.467517,-150.507789,KR RM 50,Kenai River - River Mile 50 - Skilak Lake Outflow,,KENAI_WQX-10000030,KBL_m_50.0,50,mainstem,
60.481392,-150.11502,KR RM 70,Kenai River - River Mile 70 - Jim's Landing,,KENAI_WQX-10000031,KBL_m_70.0,70,mainstem,
60.492007,-149.810844,KR RM 82,Kenai River Mile 82 - Kenai Lake Bridge,,KENAI_WQX-10000425,KBL_m_82.0,82,mainstem,
60.550888,-151.268417,KR RM 0 NNC,"Kenai River - River Mile 0 - ""No Name"" Creek",,KENAI_WQX-10000008,KBL_t_00.0,0,tributary,No Name Creek
60.548029,-151.14324,KR RM 10 BC,Kenai River - River Mile 10 - Beaver Creek,,KENAI_WQX-10000015,KBL_t_10.0,10,tributary,Beaver Creek
60.482318,-151.127053,KR RM 19 SC,Kenai River - River Mile 19 - Slikok Creek,,KENAI_WQX-10000020,KBL_t_19.0,19,tributary,Slikok Creek
60.483364,-151.057656,KR RM 22 SOC,Kenai River - River Mile 22 - Soldotna Creek,,KENAI_WQX-10000022,KBL_t_22.0,22,tributary,Soldotna Creek
60.489963,-150.860982,KR RM 30 FR,Kenai River - River Mile 30 - Funny River,,KENAI_WQX-10000024,KBL_t_30.0,30,tributary,Funny River
60.53687,-150.754724,KR RM 36 MR,Kenai River - River Mile 36 - Moose River,,KENAI_WQX-10000026,KBL_t_36.0,36,tributary,Moose River
60.481518,-150.632498,KR RM 44 KI,Kenai River - River Mile 44 - Killey River,,KENAI_WQX-10000029,KBL_t_44.0,44,tributary,Killey River
60.484622,-149.993955,KR RM 74 RR,Kenai River - River Mile 74 - Russian River,,KENAI_WQX-10000032,KBL_t_74.0,74,tributary,Russian River
60.489,-149.877,KR RM 79.5 JC,Kenai River Juneau Creek,,KENAI_WQX-10000424,KBL_t_79.5,79.5,tributary,Juneau Creek
