"characteristic_name","reg_unit","reg_agency","reg_agency_source","drinking_water","stock_water","irrigation_water"
"Antimony","ug/l","ADEC","2010 toxicsbook.xls",6,NA,NA
"Arsenic","ug/l","ADEC","2010 toxicsbook.xls",10,50,100
"Barium","ug/l","ADEC","2010 toxicsbook.xls",2000,NA,NA
"Beryllium","ug/l","ADEC","2010 toxicsbook.xls",4,NA,100
"Boron","ug/l","ADEC","2010 toxicsbook.xls",NA,NA,750
"Cadmium","ug/l","ADEC","2010 toxicsbook.xls",5,10,10
"Chromium","ug/l","ADEC","2010 toxicsbook.xls",100,NA,100
"Cobalt","ug/l","ADEC","2010 toxicsbook.xls",NA,NA,50
"Copper","ug/l","ADEC","2010 toxicsbook.xls",NA,NA,200
"Iron","ug/l","ADEC","2010 toxicsbook.xls",NA,NA,5000
"Lead","ug/l","ADEC","2010 toxicsbook.xls",NA,50,5000
"Molybdenum","ug/l","ADEC","2010 toxicsbook.xls",NA,NA,10
"Nickel","ug/l","ADEC","2010 toxicsbook.xls",100,NA,200
"Selenium","ug/l","ADEC","2010 toxicsbook.xls",50,10,20
"Thallium","ug/l","ADEC","2010 toxicsbook.xls",2,NA,NA
"Vanadium","ug/l","ADEC","2010 toxicsbook.xls",NA,NA,100
"Zinc","ug/l","ADEC","2010 toxicsbook.xls",NA,NA,2000
