OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifie,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
KENAI_WQX,Kenai Watershed Forum (Volunteer),KENAI_WQX-KBL_t_30.0-2021-07-27-P,Field Msr/Obs,Water,Surface Water,7/27/2021,9:30:00,AKST,,,,,15,cm,,,,,,10000007,Agency Baseline,,KENAI_WQX-10000024,KBL_t_30.0,NA,,,,60.489963,-150.860982,,,,,Water Bottle,STORET-1058878906,Not Detected,as P,Phosphorus,"Filtered, field",NA,ug/L,U,Deleted,,Actual,Sampled,,,,,,,,,,,,,,,,,,,200.8,USEPA,200.8 ~ EPA; Metals in Waters by ICP/MS,,https://www.nemi.gov/methods/method_summary/4665/,"SGS North America, Anchorage, Alaska",8/5/2021,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-KBL_t_30.0-2021-07-27-P/results/1058878906/resdetectqntlmts,Lower Quantitation Limit,200,ug/L,,2025-03-28T15:47:44,STORET
KENAI_WQX,Kenai Watershed Forum (Volunteer),KENAI_WQX-KBL_t_79.5-2021-05-11-TSS,Field Msr/Obs,Water,Surface Water,5/11/2021,8:36:00,AKST,,,,,15,cm,,,,,,10000007,Agency Baseline,,KENAI_WQX-10000424,KBL_t_79.5,,,,,60.489,-149.877,,,,,Water Bottle,STORET-1058879157,,,Total suspended solids,,21.66666667,mg/L,=,Deleted,,Actual,Sampled,,,,,,,,,,,,,,,,,,,2540-D,APHA,2540 D ~ Total Suspended Solids in Water,,https://www.nemi.gov/methods/method_summary/9819/,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",5/12/2021,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-KBL_t_79.5-2021-05-11-TSS/results/1058879157/resdetectqntlmts,Lower Quantitation Limit,1,mg/L,,2025-03-28T15:47:47,STORET
KENAI_WQX,Kenai Watershed Forum (Volunteer),KENAI_WQX-KBL_t_10.0-2021-05-11-Total P,Field Msr/Obs,Water,Surface Water,5/11/2021,10:05:00,AKST,,,,,15,cm,,,,,,10000007,Agency Baseline,,KENAI_WQX-10000015,KBL_t_10.0,NA,,,,60.548029,-151.14324,,,,,Water Bottle,STORET-1058879069,,as P,"Total Phosphorus, mixed forms",Total,0.0843,mg/L,=,Deleted,,Actual,Sampled,,,,,,,,,,,,,,,,,,,4500-P-E,APHA,4500 P E ~ Phosphorus in Water by Colorimetry- Ascorbic Acid Method,,https://www.nemi.gov/methods/method_summary/7436/,"SGS North America, Anchorage, Alaska",5/18/2021,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-KBL_t_10.0-2021-05-11-Total%20P/results/1058879069/resdetectqntlmts,Lower Quantitation Limit,0.04,mg/L,,2025-03-28T15:47:46,STORET
KENAI_WQX,Kenai Watershed Forum (Volunteer),KENAI_WQX-KBL_m_10.1-2021-07-27-Fe,Field Msr/Obs,Water,Surface Water,7/27/2021,10:10:00,AKST,,,,,15,cm,,,,,,10000007,Agency Baseline,,KENAI_WQX-10000016,KBL_m_10.1,NA,,,,60.539279,-151.142263,,,,,Water Bottle,STORET-1058878748,Not Detected,,Iron,"Filtered, field",NA,ug/L,U,Deleted,,Actual,Sampled,,,,,,,,,,,,,,,,,,,200.8,USEPA,200.8 ~ EPA; Metals in Waters by ICP/MS,,https://www.nemi.gov/methods/method_summary/4665/,"SGS North America, Anchorage, Alaska",8/5/2021,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-KBL_m_10.1-2021-07-27-Fe/results/1058878748/resdetectqntlmts,Lower Quantitation Limit,250,ug/L,,2025-03-28T15:47:42,STORET
KENAI_WQX,Kenai Watershed Forum (Volunteer),KENAI_WQX-KBL_t_30.0-2021-05-11-FC,Field Msr/Obs,Water,Surface Water,5/11/2021,9:06:00,AKST,,,,,15,cm,,,,,,10000007,Agency Baseline,,KENAI_WQX-10000024,KBL_t_30.0,Lab analysis volume = 95 mL,,,,60.489963,-150.860982,,,,,Water Bottle,STORET-1058878677,,,Fecal Coliform,,13,cfu/100mL,=,Deleted,,Actual,Sampled,,,,,,,,,,,,,,,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,,https://www.nemi.gov/methods/method_summary/5587/,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",5/11/2021,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-KBL_t_30.0-2021-05-11-FC/results/1058878677/resdetectqntlmts,Lower Quantitation Limit,1,cfu/100mL,,2025-03-28T15:47:42,STORET
KENAI_WQX,Kenai Watershed Forum (Volunteer),KENAI_WQX-KBL_t_22.0-2021-05-11-Cu,Field Msr/Obs,Water,Surface Water,5/11/2021,11:33:00,AKST,,,,,15,cm,,,,,,10000007,Agency Baseline,,KENAI_WQX-10000022,KBL_t_22.0,NA,,,,60.483364,-151.057656,,,,,Water Bottle,STORET-1058878639,Not Detected,,Copper,"Filtered, field",NA,ug/L,U,Deleted,,Actual,Sampled,,,,,,,,,,,,,,,,,,,200.8,USEPA,200.8 ~ EPA; Metals in Waters by ICP/MS,,https://www.nemi.gov/methods/method_summary/4665/,"SGS North America, Anchorage, Alaska",5/21/2021,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-KBL_t_22.0-2021-05-11-Cu/results/1058878639/resdetectqntlmts,Lower Quantitation Limit,1,ug/L,,2025-03-28T15:47:41,STORET
KENAI_WQX,Kenai Watershed Forum (Volunteer),KENAI_WQX-KBL_t_44.0-2021-05-11-FC,Field Msr/Obs,Water,Surface Water,5/11/2021,8:55:00,AKST,,,,,15,cm,,,,,,10000007,Agency Baseline,,KENAI_WQX-10000029,KBL_t_44.0,Lab analysis volume = 100 mL,,,,60.481518,-150.632498,,,,,Water Bottle,STORET-1058878689,,,Fecal Coliform,,2,cfu/100mL,=,Deleted,,Actual,Sampled,,,,,,,,,,,,,,,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,,https://www.nemi.gov/methods/method_summary/5587/,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",5/11/2021,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-KBL_t_44.0-2021-05-11-FC/results/1058878689/resdetectqntlmts,Lower Quantitation Limit,1,cfu/100mL,,2025-03-28T15:47:42,STORET
KENAI_WQX,Kenai Watershed Forum (Volunteer),KENAI_WQX-KBL_m_23.0-2021-07-27-TSS,Field Msr/Obs,Water,Surface Water,7/27/2021,10:57:00,AKST,,,,,15,cm,,,,,,10000007,Agency Baseline,,KENAI_WQX-10000023,KBL_m_23.0,,,,,60.480338,-151.030847,,,,,Water Bottle,STORET-1058879136,,,Total suspended solids,,11,mg/L,=,Deleted,,Actual,Sampled,,,,,,,,,,,,,,,,,,,2540-D,APHA,2540 D ~ Total Suspended Solids in Water,,https://www.nemi.gov/methods/method_summary/9819/,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",7/28/2021,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-KBL_m_23.0-2021-07-27-TSS/results/1058879136/resdetectqntlmts,Lower Quantitation Limit,1,mg/L,,2025-03-28T15:47:47,STORET
KENAI_WQX,Kenai Watershed Forum (Volunteer),KENAI_WQX-KBL_t_00.0-2021-07-27-V,Field Msr/Obs,Water,Surface Water,7/27/2021,9:30:00,AKST,,,,,15,cm,,,,,,10000007,Agency Baseline,,KENAI_WQX-10000008,KBL_t_00.0,NA,,,,60.550888,-151.268417,,,,,Water Bottle,STORET-1058879163,Not Detected,,Vanadium,"Filtered, field",NA,ug/L,U,Deleted,,Actual,Sampled,,,,,,,,,,,,,,,,,,,200.8,USEPA,200.8 ~ EPA; Metals in Waters by ICP/MS,,https://www.nemi.gov/methods/method_summary/4665/,"SGS North America, Anchorage, Alaska",8/5/2021,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-KBL_t_00.0-2021-07-27-V/results/1058879163/resdetectqntlmts,Lower Quantitation Limit,20,ug/L,,2025-03-28T15:47:47,STORET
KENAI_WQX,Kenai Watershed Forum (Volunteer),KENAI_WQX-KBL_t_00.0-2021-05-11-Cu-DUP,Quality Control Field Replicate Msr/Obs,Water,Surface Water,5/11/2021,10:20:00,AKST,,,,,15,cm,,,,,,10000007,Agency Baseline,,KENAI_WQX-10000008,KBL_t_00.0,NA,,,,60.550888,-151.268417,,,,,Water Bottle,STORET-1058878625,Not Detected,,Copper,"Filtered, field",NA,ug/L,U,Deleted,,Actual,Sampled,,,,,,,,,,,,,,,,,,,200.8,USEPA,200.8 ~ EPA; Metals in Waters by ICP/MS,,https://www.nemi.gov/methods/method_summary/4665/,"SGS North America, Anchorage, Alaska",5/21/2021,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-KBL_t_00.0-2021-05-11-Cu-DUP/results/1058878625/resdetectqntlmts,Lower Quantitation Limit,1,ug/L,,2025-03-28T15:47:41,STORET
KENAI_WQX,Kenai Watershed Forum (Volunteer),KENAI_WQX-KBL_m_21.0-2021-07-27-Mn,Field Msr/Obs,Water,Surface Water,7/27/2021,10:10:00,AKST,,,,,15,cm,,,,,,10000007,Agency Baseline,,KENAI_WQX-10000021,KBL_m_21.0,NA,,,,60.476634,-151.082099,,,,,Water Bottle,STORET-1058878856,,,Manganese,"Filtered, field",1.98,ug/L,=,Deleted,,Actual,Sampled,,,,,,,,,,,,,,,,,,,200.8,USEPA,200.8 ~ EPA; Metals in Waters by ICP/MS,,https://www.nemi.gov/methods/method_summary/4665/,"SGS North America, Anchorage, Alaska",8/5/2021,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-KBL_m_21.0-2021-07-27-Mn/results/1058878856/resdetectqntlmts,Lower Quantitation Limit,1,ug/L,,2025-03-28T15:47:44,STORET
KENAI_WQX,Kenai Watershed Forum (Volunteer),KENAI_WQX-KBL_t_22.0-2021-07-27-V,Field Msr/Obs,Water,Surface Water,7/27/2021,11:25:00,AKST,,,,,15,cm,,,,,,10000007,Agency Baseline,,KENAI_WQX-10000022,KBL_t_22.0,NA,,,,60.483364,-151.057656,,,,,Water Bottle,STORET-1058879171,Not Detected,,Vanadium,"Filtered, field",NA,ug/L,U,Deleted,,Actual,Sampled,,,,,,,,,,,,,,,,,,,200.8,USEPA,200.8 ~ EPA; Metals in Waters by ICP/MS,,https://www.nemi.gov/methods/method_summary/4665/,"SGS North America, Anchorage, Alaska",8/5/2021,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-KBL_t_22.0-2021-07-27-V/results/1058879171/resdetectqntlmts,Lower Quantitation Limit,20,ug/L,,2025-03-28T15:47:47,STORET
KENAI_WQX,Kenai Watershed Forum (Volunteer),KENAI_WQX-KBL_m_21.0-2021-07-27-Total Fe,Field Msr/Obs,Water,Surface Water,7/27/2021,10:10:00,AKST,,,,,15,cm,,,,,,10000007,Agency Baseline,,KENAI_WQX-10000021,KBL_m_21.0,NA,,,,60.476634,-151.082099,,,,,Water Bottle,STORET-1058878726,,,Iron,Unfiltered,0.29,mg/L,=,Deleted,,Actual,Sampled,, ,,,,,,,,,,,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,,https://www.nemi.gov/methods/method_summary/4690/,"ALS Environmental, Kelso, Washington",8/23/2021,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-KBL_m_21.0-2021-07-27-Total%20Fe/results/1058878726/resdetectqntlmts,Lower Quantitation Limit,0.021,mg/L,,2025-03-28T15:47:42,STORET
KENAI_WQX,Kenai Watershed Forum (Volunteer),KENAI_WQX-KBL_m_23.0-2021-07-27-Total Mg,Field Msr/Obs,Water,Surface Water,7/27/2021,10:43:00,AKST,,,,,15,cm,,,,,,10000007,Agency Baseline,,KENAI_WQX-10000023,KBL_m_23.0,NA,,,,60.480338,-151.030847,,,,,Water Bottle,STORET-1058878831,,,Magnesium,Unfiltered,1.06,mg/L,=,Deleted,,Actual,Sampled,,,,,,,,,,,,,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,,https://www.nemi.gov/methods/method_summary/4690/,"ALS Environmental, Kelso, Washington",8/23/2021,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-KBL_m_23.0-2021-07-27-Total%20Mg/results/1058878831/resdetectqntlmts,Lower Quantitation Limit,0.0053,mg/L,,2025-03-28T15:47:43,STORET
KENAI_WQX,Kenai Watershed Forum (Volunteer),KENAI_WQX-KBL_t_74.0-2021-05-11-Total Fe,Field Msr/Obs,Water,Surface Water,5/11/2021,9:30:00,AKST,,,,,15,cm,,,,,,10000007,Agency Baseline,,KENAI_WQX-10000032,KBL_t_74.0,NA,,,,60.484622,-149.993955,,,,,Water Bottle,STORET-1058878742,,,Iron,Unfiltered,7.3,mg/L,=,Deleted,,Actual,Sampled,,,,,,,,,,,,,,,,,,,200.7,USEPA,Metals in Water by ICP-AES,,https://www.nemi.gov/methods/method_summary/4690/,"ALS Environmental, Kelso, Washington",5/21/2021,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-KBL_t_74.0-2021-05-11-Total%20Fe/results/1058878742/resdetectqntlmts,Lower Quantitation Limit,0.021,mg/L,,2025-03-28T15:47:42,STORET
KENAI_WQX,Kenai Watershed Forum (Volunteer),KENAI_WQX-KBL_m_06.5-2021-07-27-Pb,Field Msr/Obs,Water,Surface Water,7/27/2021,9:10:00,AKST,,,,,15,cm,,,,,,10000007,Agency Baseline,,KENAI_WQX-10000005,KBL_m_06.5,NA,,,,60.54081,-151.18278,,,,,Water Bottle,STORET-1058878764,Not Detected,,Lead,"Filtered, field",NA,ug/L,U,Deleted,,Actual,Sampled,,,,,,,,,,,,,,,,,,,200.8,USEPA,200.8 ~ EPA; Metals in Waters by ICP/MS,,https://www.nemi.gov/methods/method_summary/4665/,"SGS North America, Anchorage, Alaska",8/5/2021,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-KBL_m_06.5-2021-07-27-Pb/results/1058878764/resdetectqntlmts,Lower Quantitation Limit,0.2,ug/L,,2025-03-28T15:47:43,STORET
