OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000002,KBL_m_01.5,River/Stream,,,,,,,60.54368,-151.22294,,,,Unknown,NAD83,,,,,,,US,02,122,,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000005,KBL_m_06.5,River/Stream,,,,,,,60.54081,-151.18278,,,,Unknown,NAD83,,,,,,,US,02,122,,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000016,KBL_m_10.1,River/Stream,,,,,,,60.539279,-151.142263,,,,Unknown,NAD83,,,,,,,US,02,122,,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000017,KBL_m_12.5,River/Stream,,,,,,,60.533743,-151.099258,,,,Unknown,NAD83,,,,,,,US,02,122,,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000018,KBL_m_18.0,River/Stream,,,,,,,60.502005,-151.106973,,,,Unknown,NAD83,,,,,,,US,02,122,,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000021,KBL_m_21.0,River/Stream,,,,,,,60.476634,-151.082099,,,,Unknown,NAD83,,,,,,,US,02,122,,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000023,KBL_m_23.0,River/Stream,,,,,,,60.480338,-151.030847,,,,Unknown,NAD83,,,,,,,US,02,122,,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000025,KBL_m_31.0,River/Stream,,,,,,,60.498284,-150.863121,,,,Unknown,NAD83,,,,,,,US,02,122,,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000027,KBL_m_40.0,River/Stream,,,,,,,60.515441,-150.702069,,,,Unknown,NAD83,,,,,,,US,02,122,,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000028,KBL_m_43.0,River/Stream,,,,,,,60.489844,-150.636905,,,,Unknown,NAD83,,,,,,,US,02,122,,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000030,KBL_m_50.0,River/Stream,,,,,,,60.467517,-150.507789,,,,Unknown,NAD83,,,,,,,US,02,122,,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000031,KBL_m_70.0,River/Stream,,,,,,,60.481392,-150.11502,,,,Unknown,NAD83,,,,,,,US,02,122,,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000425,KBL_m_82.0,River/Stream,,,,,,,60.492,-149.81087,,,,Unknown,NAD83,,,,,,,US,02,122,,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000008,KBL_t_00.0,River/Stream,,,,,,,60.550888,-151.268417,,,,Unknown,NAD83,,,,,,,US,02,122,,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000015,KBL_t_10.0,River/Stream,,,,,,,60.548029,-151.14324,,,,Unknown,NAD83,,,,,,,US,02,122,,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000020,KBL_t_19.0,River/Stream,,,,,,,60.482318,-151.127053,,,,Unknown,NAD83,,,,,,,US,02,122,,,,,,,,,,STORET
KENAI_WQX,Kenai Watershed Forum,KENAI_WQX-10000022,KBL_t_22.0,River/Stream,,,,,,,60.483364,-151.057656,,,,Unknown,NAD83,,,,,,,US,02,122,,,,,,,,,,STORET
