"","monitoring_location_id","flag_N","flag_Y","total_samples","cma"
"1","KR RM 0 NNC",22,30,52,"42.3%"
"2","KR RM 1.5",19,8,27,"70.4%"
"3","KR RM 10 BC",11,15,26,"42.3%"
"4","KR RM 10.1",11,15,26,"42.3%"
"5","KR RM 12.5",11,15,26,"42.3%"
"6","KR RM 18",11,15,26,"42.3%"
"7","KR RM 19 SC",11,15,26,"42.3%"
"8","KR RM 21",11,15,26,"42.3%"
"9","KR RM 22 SOC",11,15,26,"42.3%"
"10","KR RM 23",11,15,26,"42.3%"
"11","KR RM 30 FR",11,15,26,"42.3%"
"12","KR RM 31",19,12,31,"61.3%"
"13","KR RM 36 MR",8,9,17,"47.1%"
"14","KR RM 40",20,9,29,"69.0%"
"15","KR RM 43",20,9,29,"69.0%"
"16","KR RM 44 KI",8,9,17,"47.1%"
"17","KR RM 50",8,9,17,"47.1%"
"18","KR RM 6.5",23,15,38,"60.5%"
"19","KR RM 70",8,9,17,"47.1%"
"20","KR RM 74 RR",12,16,28,"42.9%"
"21","KR RM 79.5 JC",8,9,17,"47.1%"
"22","KR RM 82",8,9,17,"47.1%"
