"","result_analytical_method_id","activity_start_date","activity_type","flag_N","flag_Y","expected_results_n","cmb"
"1","200.7",2021-05-11,"Field Msr/Obs",39,NA,66,"59.1%"
"2","200.7",2021-05-11,"Quality Control Field Replicate Msr/Obs",3,NA,6,"50.0%"
"3","200.7",2021-07-27,"Field Msr/Obs",66,NA,66,"100.0%"
"4","200.7",2021-07-27,"Quality Control Field Replicate Msr/Obs",6,NA,6,"100.0%"
"5","200.8",2021-05-11,"Field Msr/Obs",NA,132,72,"0.0%"
"6","200.8",2021-05-11,"Quality Control Field Replicate Msr/Obs",NA,6,6,"0.0%"
"7","200.8",2021-07-27,"Field Msr/Obs",NA,72,72,"0.0%"
"8","200.8",2021-07-27,"Quality Control Field Replicate Msr/Obs",NA,6,6,"0.0%"
"9","2540-D",2021-05-11,"Field Msr/Obs",22,NA,22,"100.0%"
"10","2540-D",2021-05-11,"Quality Control Field Replicate Msr/Obs",2,NA,2,"100.0%"
"11","2540-D",2021-07-27,"Field Msr/Obs",22,NA,22,"100.0%"
"12","2540-D",2021-07-27,"Quality Control Field Replicate Msr/Obs",2,NA,2,"100.0%"
"13","4500-NO3(F)",2021-05-11,"Field Msr/Obs",NA,22,22,"0.0%"
"14","4500-NO3(F)",2021-05-11,"Quality Control Field Replicate Msr/Obs",NA,2,2,"0.0%"
"15","4500-NO3(F)",2021-07-27,"Field Msr/Obs",22,NA,22,"100.0%"
"16","4500-NO3(F)",2021-07-27,"Quality Control Field Replicate Msr/Obs",2,NA,2,"100.0%"
"17","4500-P-E",2021-05-11,"Field Msr/Obs",22,NA,22,"100.0%"
"18","4500-P-E",2021-05-11,"Quality Control Field Replicate Msr/Obs",2,NA,2,"100.0%"
"19","4500-P-E",2021-07-27,"Field Msr/Obs",22,NA,22,"100.0%"
"20","4500-P-E",2021-07-27,"Quality Control Field Replicate Msr/Obs",2,NA,2,"100.0%"
"21","8260D",2021-07-27,"Field Msr/Obs",24,NA,24,"100.0%"
"22","8260D",2021-07-27,"Quality Control Sample-Trip Blank",24,NA,24,"100.0%"
"23","9222D",2021-05-11,"Field Msr/Obs",NA,22,22,"0.0%"
"24","9222D",2021-05-11,"Quality Control Field Replicate Msr/Obs",NA,2,2,"0.0%"
"25","9222D",2021-07-27,"Field Msr/Obs",NA,22,22,"0.0%"
"26","9222D",2021-07-27,"Quality Control Field Replicate Msr/Obs",NA,2,2,"0.0%"
