"sample","epa_analysis_id","analyte","lab_name","activity_datetime","rec_datetime","hold_time_hours","analytical_method","max_holding_time_text","max_holding_time_hours","hold_time_pass"
"RM0_No_Name_Creek","4500-NO3(F)","Total Nitrate/Nitrite-N","SGS North America, Anchorage, Alaska",2021-05-11 10:10:00,2021-05-12 08:16:00,22.1,"SM21 4500NO3-F","28 days",672,"Y"
"RM0_No_Name_Creek","4500-P-E","Total Phosphorus","SGS North America, Anchorage, Alaska",2021-05-11 10:10:00,2021-05-12 08:16:00,22.1,"SM21 4500P-B,E","28 days",672,"Y"
"RM0_No_Name_Creek","200.8","Arsenic","SGS North America, Anchorage, Alaska",2021-05-11 10:11:00,2021-05-12 08:16:00,22.0833333333333,"200.8","180 days",4320,"Y"
"RM0_No_Name_Creek","200.8","Cadmium","SGS North America, Anchorage, Alaska",2021-05-11 10:11:00,2021-05-12 08:16:00,22.0833333333333,"200.8","180 days",4320,"Y"
"RM0_No_Name_Creek","200.8","Chromium","SGS North America, Anchorage, Alaska",2021-05-11 10:11:00,2021-05-12 08:16:00,22.0833333333333,"200.8","180 days",4320,"Y"
"RM0_No_Name_Creek","200.8","Copper","SGS North America, Anchorage, Alaska",2021-05-11 10:11:00,2021-05-12 08:16:00,22.0833333333333,"200.8","180 days",4320,"Y"
"RM0_No_Name_Creek","200.8","Lead","SGS North America, Anchorage, Alaska",2021-05-11 10:11:00,2021-05-12 08:16:00,22.0833333333333,"200.8","180 days",4320,"Y"
"RM0_No_Name_Creek","200.8","Zinc","SGS North America, Anchorage, Alaska",2021-05-11 10:11:00,2021-05-12 08:16:00,22.0833333333333,"200.8","180 days",4320,"Y"
"RM0_No_Name_Creek","4500-NO3(F)","Total Nitrate/Nitrite-N","SGS North America, Anchorage, Alaska",2021-05-11 10:18:00,2021-05-12 08:16:00,21.9666666666667,"SM21 4500NO3-F","28 days",672,"Y"
"RM0_No_Name_Creek","4500-P-E","Total Phosphorus","SGS North America, Anchorage, Alaska",2021-05-11 10:18:00,2021-05-12 08:16:00,21.9666666666667,"SM21 4500P-B,E","28 days",672,"Y"
"RM0_No_Name_Creek","200.8","Arsenic","SGS North America, Anchorage, Alaska",2021-05-11 10:20:00,2021-05-12 08:16:00,21.9333333333333,"200.8","180 days",4320,"Y"
