"","collect_date","collect_time","monitoring_location_name","units","result_detection_condition","sample_condition","Calcium","Calcium, Total","particulate_conc","total_greater_diss"
"1",2021-07-27,09:30:00,"Kenai River - River Mile 0 - ""No Name"" Creek","mg/L",NA,NA,16.2,13.8,-2.4,"N"
"2",2021-07-27,09:45:00,"Kenai River - River Mile 0 - ""No Name"" Creek","mg/L",NA,"Field Duplicate",16.3,13.7,-2.6,"N"
"3",2021-07-27,10:30:00,"Kenai River - River Mile 1.5","mg/L",NA,NA,39.1,33.7,-5.4,"N"
"4",2021-07-27,09:50:00,"Kenai River - River Mile 10 - Beaver Creek","mg/L",NA,NA,20.1,17.3,-2.8,"N"
"5",2021-07-27,10:10:00,"Kenai River - River Mile 10.1","mg/L",NA,NA,14,11.8,-2.2,"N"
"6",2021-07-27,10:28:00,"Kenai River - The Pillars Park","mg/L",NA,NA,13.3,11.8,-1.5,"N"
"7",2021-07-27,10:50:00,"Kenai River - River Mile 18","mg/L",NA,NA,13.9,11.7,-2.2,"N"
"8",2021-07-27,09:28:00,"Kenai River - River Mile 19 - Slikok Creek","mg/L",NA,NA,18.4,15.6,-2.8,"N"
"9",2021-07-27,10:10:00,"Kenai River - River Mile 21","mg/L",NA,NA,13.8,11.6,-2.2,"N"
"10",2021-07-27,11:25:00,"Kenai River - River Mile 22 - Soldotna Creek","mg/L",NA,NA,20.9,18.3,-2.6,"N"
"11",2021-07-27,10:43:00,"Kenai River - River Mile 23","mg/L",NA,NA,13.7,11.8,-1.9,"N"
"12",2021-07-27,09:30:00,"Kenai River - River Mile 30 - Funny River","mg/L",NA,NA,11.8,10,-1.8,"N"
"13",2021-07-27,09:10:00,"Kenai River - Cunningham Park","mg/L",NA,NA,14,11.8,-2.2,"N"
"14",2021-05-11,11:35:00,"Kenai River - River Mile 22 - Soldotna Creek","mg/L",NA,NA,NA,12.5,NA,NA
"15",2021-05-11,11:10:00,"Kenai River - River Mile 23","mg/L",NA,NA,NA,10.7,NA,NA
"16",2021-05-11,09:06:00,"Kenai River - River Mile 30 - Funny River","mg/L",NA,NA,NA,5.09,NA,NA
"17",2021-05-11,10:13:00,"Kenai River - River Mile 31","mg/L",NA,NA,NA,11.1,NA,NA
"18",2021-05-11,10:30:00,"Kenai River - River Mile 10.1","mg/L",NA,NA,NA,9.98,NA,NA
"19",2021-05-11,10:50:00,"Kenai River - The Pillars Park","mg/L",NA,NA,NA,10,NA,NA
"20",2021-05-11,11:25:00,"Kenai River - River Mile 18","mg/L",NA,NA,NA,10.1,NA,NA
"21",2021-05-11,12:09:00,"Kenai River - River Mile 19 - Slikok Creek","mg/L",NA,NA,NA,7.8,NA,NA
"22",2021-05-11,09:53:00,"Kenai River - River Mile 21","mg/L",NA,NA,NA,9.59,NA,NA
"23",2021-05-11,10:17:00,"Kenai River - River Mile 0 - ""No Name"" Creek","mg/L",NA,"Field Duplicate",NA,9.04,NA,NA
"24",2021-05-11,10:12:00,"Kenai River - River Mile 0 - ""No Name"" Creek","mg/L",NA,NA,NA,9.07,NA,NA
"25",2021-05-11,09:30:00,"Kenai River - River Mile 1.5","mg/L",NA,NA,NA,50.7,NA,NA
"26",2021-05-11,09:15:00,"Kenai River - Cunningham Park","mg/L",NA,NA,NA,11.4,NA,NA
"27",2021-05-11,10:05:00,"Kenai River - River Mile 10 - Beaver Creek","mg/L",NA,NA,NA,11.1,NA,NA
"28",2021-07-27,10:50:00,"Kenai River - River Mile 31","mg/L",NA,NA,NA,11.8,NA,NA
"29",2021-07-27,10:50:00,"Kenai River - River Mile 31","mg/L",NA,"Field Duplicate",NA,11.7,NA,NA
"30",2021-07-27,11:30:00,"Kenai River - River Mile 36 - Moose River","mg/L",NA,NA,NA,22.5,NA,NA
"31",2021-07-27,09:50:00,"Kenai River - River Mile 40","mg/L",NA,NA,NA,11.5,NA,NA
"32",2021-07-27,09:30:00,"Kenai River - River Mile 43","mg/L",NA,NA,NA,11.2,NA,NA
"33",2021-07-27,09:14:00,"Kenai River - River Mile 44 - Killey River","mg/L",NA,NA,NA,5.92,NA,NA
"34",2021-07-27,08:40:00,"Kenai River - River Mile 50 - Skilak Lake Outflow","mg/L",NA,NA,NA,12,NA,NA
"35",2021-07-27,09:40:00,"Kenai River - River Mile 70 - Jim's Landing","mg/L",NA,NA,NA,15,NA,NA
"36",2021-07-27,08:50:00,"Kenai River - River Mile 74 - Russian River","mg/L",NA,NA,NA,16.5,NA,NA
"37",2021-07-27,08:15:00,"Kenai River Mile 82 - Kenai Lake Bridge","mg/L",NA,NA,NA,15.5,NA,NA
"38",2021-07-27,09:10:00,"Kenai River Juneau Creek","mg/L",NA,NA,NA,15.7,NA,NA
