"","characteristic_name","n"
"1","Aluminum",13
"2","Antimony",13
"3","Arsenic",36
"4","Barium",13
"5","Benzene",8
"6","Beryllium",13
"7","Cadmium",36
"8","Calcium",13
"9","Calcium, Total",38
"10","Chromium",36
"11","Cobalt",13
"12","Copper",36
"13","Ethylbenzene",8
"14","Fecal Coliform",24
"15","Iron",13
"16","Iron, Total",38
"17","Lead",36
"18","Magnesium",13
"19","Magnesium, Total",38
"20","Manganese",13
"21","Molybdenum",13
"22","Nickel",13
"23","P & M -Xylene",8
"24","Phosphorus",13
"25","Potassium",13
"26","Selenium",13
"27","Silicon",13
"28","Silver",13
"29","Sodium",13
"30","Thallium",13
"31","Tin",13
"32","Titanium",13
"33","Toluene",8
"34","Total Nitrate/Nitrite-N",48
"35","Total Phosphorus",48
"36","Total suspended solids",48
"37","Vanadium",13
"38","Xylenes (total)",8
"39","Zinc",36
"40","o-Xylene",8
