"","organization_identifier","organization_formal_name","activity_identifier","activity_start_date","activity_start_time_time","activity_start_time_time_zone_code","monitoring_location_identifier","result_identifier","data_logger_line","result_detection_condition_text","characteristic_name","result_sample_fraction_text","result_measure_value","result_measure_measure_unit_code","result_status_identifier","result_value_type_name","result_analytical_method_method_identifier","result_analytical_method_method_identifier_context","result_analytical_method_method_name","result_analytical_method_method_qualifier_type_name","method_description_text","analysis_start_time_time","analysis_start_time_time_zone_code","result_detection_quantitation_limit_url","provider_name","project","trib_mainstem","river_mile","monitoring_location_name","monitoring_location_type_name","monitoring_location_description_text","huc_eight_digit_code","latitude_measure","longitude_measure","horizontal_collection_method_name","horizontal_coordinate_reference_system_datum_name","country_code","state_code","county_code","tributary_name","site_name","julian_day","season","hardness_mgl"
"1","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000022_07/22/2003_09:00:00","2003-07-22","09:00:00","AKDT","KENAI_WQX-10000022","STORET-56515908",NA,NA,"Arsenic","Dissolved",10,"ug/l","Final","Actual","200.8(W)","USEPA","200.8 W  ~ Metals in Waters by ICP/MS",0,"https://www.nemi.gov/methods/method_summary/4665/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000022_07%2F22%2F2003_09%3A00%3A00/results/56515908/resdetectqntlmts","STORET","KBL","t",22,"KBL_t_22.0","River/Stream","Soldotna_Creek",19020302,60.483364,-151.057656,"Interpolation-Satellite","NAD83","US",2,122,"Soldotna Creek","Soldotna Creek",203,"Summer",81.2956
"2","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000021_2010-04-27_10:23:00","2010-04-27","10:23:00","AKDT","KENAI_WQX-10000021","STORET-64653741",NA,NA,"Arsenic","Dissolved",1.57,"ug/l","Final","Actual","200.8","USEPA","Metals in Waters by ICP/MS",0,"https://www.nemi.gov/methods/method_summary/4665/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000021_2010-04-27_10%3A23%3A00/results/64653741/resdetectqntlmts","STORET","KBL","m",21,"KBL_m_21.0","River/Stream","Soldotna_Bridge",19020302,60.476634,-151.082099,"Interpolation-Satellite","NAD83","US",2,122,NA,"21",117,"Spring",33.76395
"3","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000025_2012-05-01_10:35","2012-05-01","10:35:00","AKDT","KENAI_WQX-10000025","STORET-235123570",NA,NA,"Arsenic","Dissolved",2.14,"ug/l","Final","Actual","200.7","USEPA","Metals in Water by ICP-AES",NA,"https://www.nemi.gov/methods/method_summary/4690/","1-01-01 16:46:00","AKDT","https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000025_2012-05-01_10%3A35/results/235123570/resdetectqntlmts","STORET","KBL","m",31,"KBL_m_31.0","River/Stream","Morgans_Landing",19020302,60.498284,-150.863121,"Interpolation-Satellite","NAD83","US",2,122,NA,"31",122,"Spring",33.6455
"4","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000027_2012/07/31_11:32:00","2012-07-31","11:32:00","AKDT","KENAI_WQX-10000027","STORET-235148605",NA,NA,"Arsenic","Dissolved",0.99,"ug/l","Final","Actual","200.8","USEPA","Metals in Waters by ICP/MS",0,"https://www.nemi.gov/methods/method_summary/4665/","1-01-01 04:04:00","AKDT","https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000027_2012%2F07%2F31_11%3A32%3A00/results/235148605/resdetectqntlmts","STORET","KBL","m",40,"KBL_m_40.0","River/Stream","Bings_Landing",19020302,60.515441,-150.702069,"Interpolation-Satellite","NAD83","US",2,122,NA,"40",213,"Summer",29.896767
"5","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000026_07/22/2003_10:00:00","2003-07-22","10:00:00","AKDT","KENAI_WQX-10000026","STORET-56515954",NA,NA,"Arsenic","Dissolved",5.2,"ug/l","Final","Actual","200.8(W)","USEPA","200.8 W  ~ Metals in Waters by ICP/MS",0,"https://www.nemi.gov/methods/method_summary/4665/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000026_07%2F22%2F2003_10%3A00%3A00/results/56515954/resdetectqntlmts","STORET","KBL","t",36,"KBL_t_36.0","River/Stream","Moose_River",19020302,60.53687,-150.754724,"Interpolation-Satellite","NAD83","US",2,122,"Moose River","Moose River",203,"Summer",78.4635
"6","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000425_2010-04-27_08:35:00","2010-04-27","08:35:00","AKDT","KENAI_WQX-10000425","STORET-64653962",NA,NA,"Arsenic","Dissolved",0.48,"ug/l","Final","Actual","200.8","USEPA","Metals in Waters by ICP/MS",0,"https://www.nemi.gov/methods/method_summary/4665/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000425_2010-04-27_08%3A35%3A00/results/64653962/resdetectqntlmts","STORET","KBL","m",82,"KBL_m_82.0","River/Stream","Kenai_Lake_Bridge",19020302,60.492,-149.81087,"Interpolation-Satellite","NAD83","US",2,122,NA,"82",117,"Spring",35.420559
"7","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000030_2010-04-27_08:07:00","2010-04-27","08:07:00","AKDT","KENAI_WQX-10000030","STORET-64653911",NA,NA,"Arsenic","Dissolved",0.979,"ug/l","Final","Actual","200.8","USEPA","Metals in Waters by ICP/MS",0,"https://www.nemi.gov/methods/method_summary/4665/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000030_2010-04-27_08%3A07%3A00/results/64653911/resdetectqntlmts","STORET","KBL","m",50,"KBL_m_50.0","River/Stream","Skilak_Lake_Outlet",19020302,60.467517,-150.507789,"Interpolation-Satellite","NAD83","US",2,122,NA,"50",117,"Spring",28.261081
"8","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000031_2006-04-25_14:00:00","2006-04-25","14:00:00","AKDT","KENAI_WQX-10000031","STORET-56498046",NA,NA,"Arsenic","Dissolved",0.799,"ug/l","Final","Actual","200.8(W)","USEPA","200.8 W  ~ Metals in Waters by ICP/MS",0,"https://www.nemi.gov/methods/method_summary/4665/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000031_2006-04-25_14%3A00%3A00/results/56498046/resdetectqntlmts","STORET","KBL","m",70,"KBL_m_70.0","River/Stream","Jims_Landing",19020302,60.481392,-150.11502,"Interpolation-Satellite","NAD83","US",2,122,NA,"70",115,"Spring",47.76251
"9","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000031_04/22/2008_11:14:00","2008-04-22","11:14:00","AKST","KENAI_WQX-10000031","STORET-56455495",NA,NA,"Arsenic","Dissolved",0.644,"ug/l","Final","Actual","200.8(W)","USEPA","200.8 W  ~ Metals in Waters by ICP/MS",0,"https://www.nemi.gov/methods/method_summary/4665/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000031_04%2F22%2F2008_11%3A14%3A00/results/56455495/resdetectqntlmts","STORET","KBL","m",70,"KBL_m_70.0","River/Stream","Jims_Landing",19020302,60.481392,-150.11502,"Interpolation-Satellite","NAD83","US",2,122,NA,"70",113,"Spring",40.36413
"10","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000031_2012-05-01_13:15","2012-05-01","13:15:00","AKDT","KENAI_WQX-10000031","STORET-235123747",NA,NA,"Arsenic","Dissolved",0.843,"ug/l","Final","Actual","200.7","USEPA","Metals in Water by ICP-AES",NA,"https://www.nemi.gov/methods/method_summary/4690/","1-01-01 04:57:00","AKDT","https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000031_2012-05-01_13%3A15/results/235123747/resdetectqntlmts","STORET","KBL","m",70,"KBL_m_70.0","River/Stream","Jims_Landing",19020302,60.481392,-150.11502,"Interpolation-Satellite","NAD83","US",2,122,NA,"70",122,"Spring",39.15938
