"","organization_formal_name","activity_identifier","activity_start_date","activity_start_time_time","activity_start_time_time_zone_code","monitoring_location_identifier","characteristic_name","result_measure_value","result_measure_measure_unit_code","result_status_identifier","result_value_type_name","result_analytical_method_method_identifier","result_analytical_method_method_identifier_context","result_analytical_method_method_name","project","trib_mainstem","river_mile","monitoring_location_name","monitoring_location_type_name","huc_eight_digit_code","drainage_area_measure_measure_value","drainage_area_measure_measure_unit_code","latitude_measure","longitude_measure","source_map_scale_numeric","horizontal_accuracy_measure_measure_value","horizontal_accuracy_measure_measure_unit_code","horizontal_collection_method_name","horizontal_coordinate_reference_system_datum_name","vertical_measure_measure_value","vertical_measure_measure_unit_code","vertical_accuracy_measure_measure_value","vertical_accuracy_measure_measure_unit_code","vertical_collection_method_name","vertical_coordinate_reference_system_datum_name","julian_day","season"
"1","Kenai Watershed Forum","KENAI_WQX-10000066_07/22/2003_18:40:00","2003-07-22","18:40:00","AKDT","KENAI_WQX-10000066","Benzene",1.34,"ug/l","Final","Actual","8021B","USEPA","8021 B ~ Aromatic and Halogenated Volatiles by Gas Chromatography","KBX","m",1.5,"KBX_m_01.5","River/Stream Perennial",19020302,NA,NA,60.544,-151.226,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,203,"Summer"
"2","Kenai Watershed Forum","KENAI_WQX-10000065_07/22/2007_10:11:00","2007-07-22","10:11:00","AKST","KENAI_WQX-10000065","Benzene",0.98,"ug/l","Final","Actual","624","USEPA","Purgeable Organics in Wastewater","KBX","m",7,"KBX_m_07.0","River/Stream Perennial",19020302,NA,NA,60.539,-151.176,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,203,"Summer"
"3","Kenai Watershed Forum","KENAI_WQX-10000066_07/22/2007_11:02:00","2007-07-22","11:02:00","AKST","KENAI_WQX-10000066","Benzene",1.6,"ug/l","Final","Actual","624","USEPA","Purgeable Organics in Wastewater","KBX","m",1.5,"KBX_m_01.5","River/Stream Perennial",19020302,NA,NA,60.544,-151.226,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,203,"Summer"
"4","Kenai Watershed Forum","KENAI_WQX-10000065_07/22/2003_19:00:00","2003-07-22","19:00:00","AKDT","KENAI_WQX-10000065","Benzene",0.9,"ug/l","Final","Actual","8021B","USEPA","8021 B ~ Aromatic and Halogenated Volatiles by Gas Chromatography","KBX","m",7,"KBX_m_07.0","River/Stream Perennial",19020302,NA,NA,60.539,-151.176,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,203,"Summer"
"5","Kenai Watershed Forum","KENAI_WQX-10000066_07/18/2009_13:47:00","2009-07-18","13:47:00","AKDT","KENAI_WQX-10000066","Benzene",1.2,"ug/l","Final","Actual","624","USEPA","Purgeable Organics in Wastewater","KBX","m",1.5,"KBX_m_01.5","River/Stream Perennial",19020302,NA,NA,60.544,-151.226,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,199,"Summer"
"6","Kenai Watershed Forum","KENAI_WQX-10000066_07/22/2007_16:45:00","2007-07-22","16:45:00","AKST","KENAI_WQX-10000066","Benzene",1.7,"ug/l","Final","Actual","624","USEPA","Purgeable Organics in Wastewater","KBX","m",1.5,"KBX_m_01.5","River/Stream Perennial",19020302,NA,NA,60.544,-151.226,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,203,"Summer"
"7","Kenai Watershed Forum","KENAI_WQX-10000066_07/24/2004_03:13:00","2004-07-24","03:13:00","AKDT","KENAI_WQX-10000066","Benzene",0.49,"ug/l","Final","Actual","624","USEPA","Purgeable Organics in Wastewater","KBX","m",1.5,"KBX_m_01.5","River/Stream Perennial",19020302,NA,NA,60.544,-151.226,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,206,"Summer"
"8","Kenai Watershed Forum","KENAI_WQX-10000066_07/22/2008_14:35:00","2008-07-22","14:35:00","AKDT","KENAI_WQX-10000066","Benzene",0.81,"ug/l","Final","Actual","624","USEPA","Purgeable Organics in Wastewater","KBX","m",1.5,"KBX_m_01.5","River/Stream Perennial",19020302,NA,NA,60.544,-151.226,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,204,"Summer"
"9","Kenai Watershed Forum","KENAI_WQX-10000066_07/30/2007_19:00:00","2007-07-30","19:00:00","AKDT","KENAI_WQX-10000066","Benzene",0.66,"ug/l","Final","Actual","624","USEPA","Purgeable Organics in Wastewater","KBX","m",1.5,"KBX_m_01.5","River/Stream Perennial",19020302,NA,NA,60.544,-151.226,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,211,"Summer"
"10","Kenai Watershed Forum","KENAI_WQX-10000005_2001-07-24_10:40:00","2001-07-24","10:40:00","AKDT","KENAI_WQX-10000005","Benzene",1.7,"ug/l","Final","Actual","602","USEPA","Purgeable Aromatics in Wastewater by GC","KBL","m",6.5,"KBL_m_06.5","River/Stream",19020302,NA,NA,60.54081,-151.18278,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,205,"Summer"
"11","Kenai Watershed Forum","KENAI_WQX-10000131_07/24/2007_13:25:00","2007-07-24","13:25:00","AKDT","KENAI_WQX-10000131","Benzene",0.74,"ug/l","Final","Actual","624","USEPA","Purgeable Organics in Wastewater","KBX","m",5,"KBX_m_05.0","River/Stream Perennial",19020302,NA,NA,60.527,-151.209,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,205,"Summer"
"12","Kenai Watershed Forum","KENAI_WQX-10000129_07/18/2007_10:47:00","2007-07-18","10:47:00","AKDT","KENAI_WQX-10000129","Benzene",0.47,"ug/l","Final","Actual","602","USEPA","Purgeable Aromatics in Wastewater by GC","KBX","m",11.1,"KBX_m_11.1","River/Stream Perennial",19020302,NA,NA,60.547,-151.119,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,199,"Summer"
"13","Kenai Watershed Forum","KENAI_WQX-10000018_07/18/2000_13:10:00","2000-07-18","13:10:00","AKDT","KENAI_WQX-10000018","Benzene",0.2,"ug/l","Final","Actual","602","USEPA","Purgeable Aromatics in Wastewater by GC","KBL","m",18,"KBL_m_18.0","River/Stream",19020302,NA,NA,60.502005,-151.106973,NA,NA,NA,"Interpolation-Satellite","NAD83",NA,NA,NA,NA,NA,NA,200,"Summer"
