"","organization_identifier","organization_formal_name","activity_identifier","activity_start_date","activity_start_time_time","activity_start_time_time_zone_code","monitoring_location_identifier","result_identifier","data_logger_line","result_detection_condition_text","characteristic_name","result_sample_fraction_text","result_measure_value","result_measure_measure_unit_code","result_status_identifier","result_value_type_name","result_analytical_method_method_identifier","result_analytical_method_method_identifier_context","result_analytical_method_method_name","result_analytical_method_method_qualifier_type_name","method_description_text","analysis_start_time_time","analysis_start_time_time_zone_code","result_detection_quantitation_limit_url","provider_name","project","trib_mainstem","river_mile","monitoring_location_name","monitoring_location_type_name","monitoring_location_description_text","huc_eight_digit_code","latitude_measure","longitude_measure","horizontal_collection_method_name","horizontal_coordinate_reference_system_datum_name","country_code","state_code","county_code","tributary_name","site_name","julian_day","season"
"1","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000024_07/26/2005_15:20:00","2005-07-26","15:20:00","AKDT","KENAI_WQX-10000024","STORET-56498678",NA,NA,"Fecal Coliform",NA,11,"cfu/100ml","Final","Calculated","9222D","APHA","9222 D ~ Membrane filtration test for fecal coliforms",1,"https://www.nemi.gov/methods/method_summary/5587/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000024_07%2F26%2F2005_15%3A20%3A00/results/56498678/resdetectqntlmts","STORET","KBL","t",30,"KBL_t_30.0","River/Stream","Funny_River",19020302,60.489963,-150.860982,"Interpolation-Satellite","NAD83","US",2,122,"Funny River","Funny River",207,"Summer"
"2","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000025_2001-07-24_10:00:00","2001-07-24","10:00:00","AKDT","KENAI_WQX-10000025","STORET-56524020",NA,NA,"Fecal Coliform",NA,10,"cfu/100ml","Final","Calculated","9222D","APHA","9222 D ~ Membrane filtration test for fecal coliforms",1,"https://www.nemi.gov/methods/method_summary/5587/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000025_2001-07-24_10%3A00%3A00/results/56524020/resdetectqntlmts","STORET","KBL","m",31,"KBL_m_31.0","River/Stream","Morgans_Landing",19020302,60.498284,-150.863121,"Interpolation-Satellite","NAD83","US",2,122,NA,"31",205,"Summer"
"3","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000024_2006-04-25_13:31:00","2006-04-25","13:31:00","AKDT","KENAI_WQX-10000024","STORET-56498170",NA,NA,"Fecal Coliform",NA,54,"cfu/100ml","Final","Calculated","9222D","APHA","9222 D ~ Membrane filtration test for fecal coliforms",1,"https://www.nemi.gov/methods/method_summary/5587/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000024_2006-04-25_13%3A31%3A00/results/56498170/resdetectqntlmts","STORET","KBL","t",30,"KBL_t_30.0","River/Stream","Funny_River",19020302,60.489963,-150.860982,"Interpolation-Satellite","NAD83","US",2,122,"Funny River","Funny River",115,"Spring"
"4","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000024_2001-07-24_11:26:00","2001-07-24","11:26:00","AKDT","KENAI_WQX-10000024","STORET-56524227",NA,NA,"Fecal Coliform",NA,40,"cfu/100ml","Final","Calculated","9222D","APHA","9222 D ~ Membrane filtration test for fecal coliforms",1,"https://www.nemi.gov/methods/method_summary/5587/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000024_2001-07-24_11%3A26%3A00/results/56524227/resdetectqntlmts","STORET","KBL","t",30,"KBL_t_30.0","River/Stream","Funny_River",19020302,60.489963,-150.860982,"Interpolation-Satellite","NAD83","US",2,122,"Funny River","Funny River",205,"Summer"
"5","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000027_2009-04-28_14:15:00","2009-04-28","14:15:00","AKDT","KENAI_WQX-10000027","STORET-56660660",NA,NA,"Fecal Coliform",NA,0,"#/100ml","Final","Actual","9222D","APHA","9222 D ~ Membrane filtration test for fecal coliforms",1,"https://www.nemi.gov/methods/method_summary/5587/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000027_2009-04-28_14%3A15%3A00/results/56660660/resdetectqntlmts","STORET","KBL","m",40,"KBL_m_40.0","River/Stream","Bings_Landing",19020302,60.515441,-150.702069,"Interpolation-Satellite","NAD83","US",2,122,NA,"40",118,"Spring"
"6","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000026_07/17/2007_09:45:00","2007-07-17","09:45:00","AKDT","KENAI_WQX-10000026","STORET-56488646",NA,NA,"Fecal Coliform",NA,0,"cfu/100ml","Final","Actual","9222D","APHA","9222 D ~ Membrane filtration test for fecal coliforms",1,"https://www.nemi.gov/methods/method_summary/5587/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000026_07%2F17%2F2007_09%3A45%3A00/results/56488646/resdetectqntlmts","STORET","KBL","t",36,"KBL_t_36.0","River/Stream","Moose_River",19020302,60.53687,-150.754724,"Interpolation-Satellite","NAD83","US",2,122,"Moose River","Moose River",198,"Summer"
"7","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000026_2011-04-26_12:10:00","2011-04-26","12:10:00","AKDT","KENAI_WQX-10000026","STORET-135488761",NA,NA,"Fecal Coliform",NA,7,"cfu/100ml","Final","Calculated","9222D","APHA","9222 D ~ Membrane filtration test for fecal coliforms",1,"https://www.nemi.gov/methods/method_summary/5587/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000026_2011-04-26_12%3A10%3A00/results/135488761/resdetectqntlmts","STORET","KBL","t",36,"KBL_t_36.0","River/Stream","Moose_River",19020302,60.53687,-150.754724,"Interpolation-Satellite","NAD83","US",2,122,"Moose River","Moose River",116,"Spring"
"8","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000032_2009-04-28_08:55:00","2009-04-28","08:55:00","AKDT","KENAI_WQX-10000032","STORET-56660730",NA,NA,"Fecal Coliform",NA,0,"#/100ml","Final","Actual","9222D","APHA","9222 D ~ Membrane filtration test for fecal coliforms",1,"https://www.nemi.gov/methods/method_summary/5587/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000032_2009-04-28_08%3A55%3A00/results/56660730/resdetectqntlmts","STORET","KBL","t",74,"KBL_t_74.0","River/Stream","Russian_River",19020302,60.484622,-149.993955,"Interpolation-Satellite","NAD83","US",2,122,"Russian River","Russian River",118,"Spring"
"9","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000030_2009-04-28_08:42:00","2009-04-28","08:42:00","AKDT","KENAI_WQX-10000030","STORET-56660702",NA,NA,"Fecal Coliform",NA,0,"#/100ml","Final","Actual","9222D","APHA","9222 D ~ Membrane filtration test for fecal coliforms",1,"https://www.nemi.gov/methods/method_summary/5587/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000030_2009-04-28_08%3A42%3A00/results/56660702/resdetectqntlmts","STORET","KBL","m",50,"KBL_m_50.0","River/Stream","Skilak_Lake_Outlet",19020302,60.467517,-150.507789,"Interpolation-Satellite","NAD83","US",2,122,NA,"50",118,"Spring"
"10","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000030_07/29/2008_09:08:00","2008-07-29","09:08:00","AKST","KENAI_WQX-10000030","STORET-56455253",NA,NA,"Fecal Coliform",NA,0,"cfu/100ml","Final","Actual","9222D","APHA","9222 D ~ Membrane filtration test for fecal coliforms",1,"https://www.nemi.gov/methods/method_summary/5587/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000030_07%2F29%2F2008_09%3A08%3A00/results/56455253/resdetectqntlmts","STORET","KBL","m",50,"KBL_m_50.0","River/Stream","Skilak_Lake_Outlet",19020302,60.467517,-150.507789,"Interpolation-Satellite","NAD83","US",2,122,NA,"50",211,"Summer"
