"","organization_identifier","organization_formal_name","activity_identifier","activity_start_date","activity_start_time_time","activity_start_time_time_zone_code","monitoring_location_identifier","result_identifier","data_logger_line","result_detection_condition_text","characteristic_name","result_sample_fraction_text","result_measure_value","result_measure_measure_unit_code","result_status_identifier","result_value_type_name","result_analytical_method_method_identifier","result_analytical_method_method_identifier_context","result_analytical_method_method_name","result_analytical_method_method_qualifier_type_name","method_description_text","analysis_start_time_time","analysis_start_time_time_zone_code","result_detection_quantitation_limit_url","provider_name","project","trib_mainstem","river_mile","monitoring_location_name","monitoring_location_type_name","monitoring_location_description_text","huc_eight_digit_code","latitude_measure","longitude_measure","horizontal_collection_method_name","horizontal_coordinate_reference_system_datum_name","country_code","state_code","county_code","tributary_name","site_name","julian_day","season"
"1","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000027_2010-07-27_12:42:00","2010-07-27","12:42:00","AKDT","KENAI_WQX-10000027","STORET-67840664",NA,NA,"Phosphorus",NA,0.059,"mg/l","Final","Actual","4500-P-E","APHA","4500 P E ~ Phosphorus in Water by Colorimetry- Ascorbic Acid Method",NA,"https://www.nemi.gov/methods/method_summary/7436/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000027_2010-07-27_12%3A42%3A00/results/67840664/resdetectqntlmts","STORET","KBL","m",40,"KBL_m_40.0","River/Stream","Bings_Landing",19020302,60.515441,-150.702069,"Interpolation-Satellite","NAD83","US",2,122,NA,"40",208,"Summer"
"2","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000026_2013/05/07_22:26","2013-05-07","22:26:00","AKDT","KENAI_WQX-10000026","STORET-235174947",NA,NA,"Phosphorus","Total Recoverable",0.056,"mg/l","Final","Actual","4500-P-E","APHA","4500 P E ~ Phosphorus in Water by Colorimetry- Ascorbic Acid Method",NA,"https://www.nemi.gov/methods/method_summary/7436/","1-01-01 11:45:00","AKDT","https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000026_2013%2F05%2F07_22%3A26/results/235174947/resdetectqntlmts","STORET","KBL","t",36,"KBL_t_36.0","River/Stream","Moose_River",19020302,60.53687,-150.754724,"Interpolation-Satellite","NAD83","US",2,122,"Moose River","Moose River",127,"Spring"
"3","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000026_07/18/2000_10:00:00","2000-07-18","10:00:00","AKDT","KENAI_WQX-10000026","STORET-56950306",NA,NA,"Phosphorus",NA,0.05,"mg/l","Final","Actual","4500-P-E","APHA","4500 P E ~ Phosphorus in Water by Colorimetry- Ascorbic Acid Method",NA,"https://www.nemi.gov/methods/method_summary/7436/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000026_07%2F18%2F2000_10%3A00%3A00/results/56950306/resdetectqntlmts","STORET","KBL","t",36,"KBL_t_36.0","River/Stream","Moose_River",19020302,60.53687,-150.754724,"Interpolation-Satellite","NAD83","US",2,122,"Moose River","Moose River",200,"Summer"
"4","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000024_07/17/2007_11:47:00","2007-07-17","11:47:00","AKDT","KENAI_WQX-10000024","STORET-56488559",NA,NA,"Phosphorus",NA,0.056,"mg/l","Final","Actual","4500-P-E","APHA","4500 P E ~ Phosphorus in Water by Colorimetry- Ascorbic Acid Method",NA,"https://www.nemi.gov/methods/method_summary/7436/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000024_07%2F17%2F2007_11%3A47%3A00/results/56488559/resdetectqntlmts","STORET","KBL","t",30,"KBL_t_30.0","River/Stream","Funny_River",19020302,60.489963,-150.860982,"Interpolation-Satellite","NAD83","US",2,122,"Funny River","Funny River",198,"Summer"
"5","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000025_2011-04-26_11:25:00","2011-04-26","11:25:00","AKDT","KENAI_WQX-10000025","STORET-135488746",NA,NA,"Phosphorus",NA,0.062,"mg/l","Final","Actual","4500-P-E","APHA","4500 P E ~ Phosphorus in Water by Colorimetry- Ascorbic Acid Method",NA,"https://www.nemi.gov/methods/method_summary/7436/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000025_2011-04-26_11%3A25%3A00/results/135488746/resdetectqntlmts","STORET","KBL","m",31,"KBL_m_31.0","River/Stream","Morgans_Landing",19020302,60.498284,-150.863121,"Interpolation-Satellite","NAD83","US",2,122,NA,"31",116,"Spring"
"6","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000032_2007-05-01_09:00:00","2007-05-01","09:00:00","AKDT","KENAI_WQX-10000032","STORET-56497317",NA,NA,"Phosphorus",NA,0.073,"mg/l","Final","Actual","4500-P-E","APHA","4500 P E ~ Phosphorus in Water by Colorimetry- Ascorbic Acid Method",NA,"https://www.nemi.gov/methods/method_summary/7436/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000032_2007-05-01_09%3A00%3A00/results/56497317/resdetectqntlmts","STORET","KBL","t",74,"KBL_t_74.0","River/Stream","Russian_River",19020302,60.484622,-149.993955,"Interpolation-Satellite","NAD83","US",2,122,"Russian River","Russian River",121,"Spring"
"7","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000024_2011-04-26_09:32:00","2011-04-26","09:32:00","AKDT","KENAI_WQX-10000024","STORET-135488725",NA,NA,"Phosphorus",NA,0.11,"mg/l","Final","Actual","4500-P-E","APHA","4500 P E ~ Phosphorus in Water by Colorimetry- Ascorbic Acid Method",NA,"https://www.nemi.gov/methods/method_summary/7436/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000024_2011-04-26_09%3A32%3A00/results/135488725/resdetectqntlmts","STORET","KBL","t",30,"KBL_t_30.0","River/Stream","Funny_River",19020302,60.489963,-150.860982,"Interpolation-Satellite","NAD83","US",2,122,"Funny River","Funny River",116,"Spring"
"8","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000026_2010-04-27_09:30:00","2010-04-27","09:30:00","AKDT","KENAI_WQX-10000026","STORET-64653832",NA,NA,"Phosphorus",NA,0.2,"mg/l","Final","Actual","4500-P-E","APHA","4500 P E ~ Phosphorus in Water by Colorimetry- Ascorbic Acid Method",NA,"https://www.nemi.gov/methods/method_summary/7436/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000026_2010-04-27_09%3A30%3A00/results/64653832/resdetectqntlmts","STORET","KBL","t",36,"KBL_t_36.0","River/Stream","Moose_River",19020302,60.53687,-150.754724,"Interpolation-Satellite","NAD83","US",2,122,"Moose River","Moose River",117,"Spring"
"9","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000024_2012-05-01_09:22","2012-05-01","09:22:00","AKDT","KENAI_WQX-10000024","STORET-235123550",NA,NA,"Phosphorus",NA,0.1,"mg/l","Final","Actual","4500-P-E","APHA","4500 P E ~ Phosphorus in Water by Colorimetry- Ascorbic Acid Method",NA,"https://www.nemi.gov/methods/method_summary/7436/","1-01-01 16:45:00","AKDT","https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000024_2012-05-01_09%3A22/results/235123550/resdetectqntlmts","STORET","KBL","t",30,"KBL_t_30.0","River/Stream","Funny_River",19020302,60.489963,-150.860982,"Interpolation-Satellite","NAD83","US",2,122,"Funny River","Funny River",122,"Spring"
"10","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000024_2010-07-27_11:37:00","2010-07-27","11:37:00","AKDT","KENAI_WQX-10000024","STORET-67840592",NA,NA,"Phosphorus",NA,0.16,"mg/l","Final","Actual","4500-P-E","APHA","4500 P E ~ Phosphorus in Water by Colorimetry- Ascorbic Acid Method",NA,"https://www.nemi.gov/methods/method_summary/7436/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000024_2010-07-27_11%3A37%3A00/results/67840592/resdetectqntlmts","STORET","KBL","t",30,"KBL_t_30.0","River/Stream","Funny_River",19020302,60.489963,-150.860982,"Interpolation-Satellite","NAD83","US",2,122,"Funny River","Funny River",208,"Summer"
