"","organization_identifier","organization_formal_name","activity_identifier","activity_start_date","activity_start_time_time","activity_start_time_time_zone_code","monitoring_location_identifier","result_identifier","data_logger_line","result_detection_condition_text","characteristic_name","result_sample_fraction_text","result_measure_value","result_measure_measure_unit_code","result_status_identifier","result_value_type_name","result_analytical_method_method_identifier","result_analytical_method_method_identifier_context","result_analytical_method_method_name","result_analytical_method_method_qualifier_type_name","method_description_text","analysis_start_time_time","analysis_start_time_time_zone_code","result_detection_quantitation_limit_url","provider_name","project","trib_mainstem","river_mile","monitoring_location_name","monitoring_location_type_name","monitoring_location_description_text","huc_eight_digit_code","latitude_measure","longitude_measure","horizontal_collection_method_name","horizontal_coordinate_reference_system_datum_name","country_code","state_code","county_code","tributary_name","site_name","julian_day","season"
"1","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000021_04/27/2004_12:10:00","2004-04-27","12:10:00","AKDT","KENAI_WQX-10000021","STORET-56515135",NA,NA,"Specific conductance",NA,54.1,"uS/cm","Final","Actual","8160","HACH","Conductivity in Water by Direct Measurement",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000021_04%2F27%2F2004_12%3A10%3A00/results/56515135/resdetectqntlmts","STORET","KBL","m",21,"KBL_m_21.0","River/Stream","Soldotna_Bridge",19020302,60.476634,-151.082099,"Interpolation-Satellite","NAD83","US",2,122,NA,"21",118,"Spring"
"2","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000021_2013/05/07_11:14","2013-05-07","11:14:00","AKDT","KENAI_WQX-10000021","STORET-235174797",NA,NA,"Specific conductance",NA,66.7,"mS/cm","Final","Actual","8160","HACH","Conductivity in Water by Direct Measurement",NA,NA,"1-01-01 11:14:00","AKDT","https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000021_2013%2F05%2F07_11%3A14/results/235174797/resdetectqntlmts","STORET","KBL","m",21,"KBL_m_21.0","River/Stream","Soldotna_Bridge",19020302,60.476634,-151.082099,"Interpolation-Satellite","NAD83","US",2,122,NA,"21",127,"Spring"
"3","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000027_04/10/2002_12:10:00","2002-04-10","12:10:00","AKST","KENAI_WQX-10000027","STORET-57679288",NA,NA,"Specific conductance",NA,65.1,"uS/cm","Final","Actual","8160","HACH","Conductivity in Water by Direct Measurement",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000027_04%2F10%2F2002_12%3A10%3A00/results/57679288/resdetectqntlmts","STORET","KBL","m",40,"KBL_m_40.0","River/Stream","Bings_Landing",19020302,60.515441,-150.702069,"Interpolation-Satellite","NAD83","US",2,122,NA,"40",100,"Spring"
"4","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000032_07/16/2002_08:45:00","2002-07-16","08:45:00","AKDT","KENAI_WQX-10000032","STORET-56517075",NA,NA,"Specific conductance",NA,77.7,"uS/cm","Final","Actual","8160","HACH","Conductivity in Water by Direct Measurement",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000032_07%2F16%2F2002_08%3A45%3A00/results/56517075/resdetectqntlmts","STORET","KBL","t",74,"KBL_t_74.0","River/Stream","Russian_River",19020302,60.484622,-149.993955,"Interpolation-Satellite","NAD83","US",2,122,"Russian River","Russian River",197,"Summer"
"5","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000032_07/26/2005_08:45:00","2005-07-26","08:45:00","AKDT","KENAI_WQX-10000032","STORET-56498756",NA,NA,"Specific conductance",NA,97.3,"uS/cm","Final","Actual","8160","HACH","Conductivity in Water by Direct Measurement",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000032_07%2F26%2F2005_08%3A45%3A00/results/56498756/resdetectqntlmts","STORET","KBL","t",74,"KBL_t_74.0","River/Stream","Russian_River",19020302,60.484622,-149.993955,"Interpolation-Satellite","NAD83","US",2,122,"Russian River","Russian River",207,"Summer"
"6","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000030_2006-04-25_07:53:00","2006-04-25","07:53:00","AKDT","KENAI_WQX-10000030","STORET-56498024",NA,NA,"Specific conductance",NA,67.9,"uS/cm","Final","Actual","8160","HACH","Conductivity in Water by Direct Measurement",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000030_2006-04-25_07%3A53%3A00/results/56498024/resdetectqntlmts","STORET","KBL","m",50,"KBL_m_50.0","River/Stream","Skilak_Lake_Outlet",19020302,60.467517,-150.507789,"Interpolation-Satellite","NAD83","US",2,122,NA,"50",115,"Spring"
"7","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000030_07/20/2004_09:02:00","2004-07-20","09:02:00","AKDT","KENAI_WQX-10000030","STORET-56514751",NA,NA,"Specific conductance",NA,66.3,"uS/cm","Final","Actual","8160","HACH","Conductivity in Water by Direct Measurement",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000030_07%2F20%2F2004_09%3A02%3A00/results/56514751/resdetectqntlmts","STORET","KBL","m",50,"KBL_m_50.0","River/Stream","Skilak_Lake_Outlet",19020302,60.467517,-150.507789,"Interpolation-Satellite","NAD83","US",2,122,NA,"50",202,"Summer"
"8","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000023_04/11/2001_12:20:00","2001-04-11","12:20:00","AKDT","KENAI_WQX-10000023","STORET-56524466",NA,NA,"Specific conductance",NA,75.2,"uS/cm","Final","Actual","8160","HACH","Conductivity in Water by Direct Measurement",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000023_04%2F11%2F2001_12%3A20%3A00/results/56524466/resdetectqntlmts","STORET","KBL","m",23,"KBL_m_23.0","River/Stream","Swiftwater_Park",19020302,60.480338,-151.030847,"Interpolation-Satellite","NAD83","US",2,122,NA,"23",101,"Spring"
"9","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000027_2012-05-01_13:21","2012-05-01","13:21:00","AKDT","KENAI_WQX-10000027","STORET-235123646",NA,NA,"Specific conductance",NA,66.9,"uS/cm","Final","Actual","8160","HACH","Conductivity in Water by Direct Measurement",NA,NA,"1-01-01 13:21:00","AKDT","https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000027_2012-05-01_13%3A21/results/235123646/resdetectqntlmts","STORET","KBL","m",40,"KBL_m_40.0","River/Stream","Bings_Landing",19020302,60.515441,-150.702069,"Interpolation-Satellite","NAD83","US",2,122,NA,"40",122,"Spring"
"10","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000031_2001-07-24_10:08:00","2001-07-24","10:08:00","AKDT","KENAI_WQX-10000031","STORET-56524121",NA,NA,"Specific conductance",NA,79.9,"uS/cm","Final","Actual","8160","HACH","Conductivity in Water by Direct Measurement",NA,NA,NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000031_2001-07-24_10%3A08%3A00/results/56524121/resdetectqntlmts","STORET","KBL","m",70,"KBL_m_70.0","River/Stream","Jims_Landing",19020302,60.481392,-150.11502,"Interpolation-Satellite","NAD83","US",2,122,NA,"70",205,"Summer"
