"","organization_identifier","organization_formal_name","activity_identifier","activity_start_date","activity_start_time_time","activity_start_time_time_zone_code","monitoring_location_identifier","result_identifier","data_logger_line","result_detection_condition_text","characteristic_name","result_sample_fraction_text","result_measure_value","result_measure_measure_unit_code","result_status_identifier","result_value_type_name","result_analytical_method_method_identifier","result_analytical_method_method_identifier_context","result_analytical_method_method_name","result_analytical_method_method_qualifier_type_name","method_description_text","analysis_start_time_time","analysis_start_time_time_zone_code","result_detection_quantitation_limit_url","provider_name","project","trib_mainstem","river_mile","monitoring_location_name","monitoring_location_type_name","monitoring_location_description_text","huc_eight_digit_code","latitude_measure","longitude_measure","horizontal_collection_method_name","horizontal_coordinate_reference_system_datum_name","country_code","state_code","county_code","tributary_name","site_name","julian_day","season","hardness_mgl","m_a","b_a","m_c","b_c","fw_acute_convert","fw_chronic_convert","fw_acute_std","fw_chronic_std","fw_acute_exceed","fw_chronic_exceed"
"1","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000022_04/27/2004_09:30:00","2004-04-27","09:30:00","AKDT","KENAI_WQX-10000022","STORET-56515383",NA,NA,"Zinc","Dissolved",39,"ug/l","Final","Actual","200.8(W)","USEPA","200.8 W  ~ Metals in Waters by ICP/MS",0,"https://www.nemi.gov/methods/method_summary/4665/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000022_04%2F27%2F2004_09%3A30%3A00/results/56515383/resdetectqntlmts","STORET","KBL","t",22,"KBL_t_22.0","River/Stream","Soldotna_Creek",19020302,60.483364,-151.057656,"Interpolation-Satellite","NAD83","US",2,122,"Soldotna Creek","Soldotna Creek",118,"Spring",30.81665,0.8473,0.884,0.8473,0.884,"0.97799999999999998","0.98599999999999999",44.1940917898306,44.1940917898306,NA,NA
"2","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000021_2009-07-21_11:30:00","2009-07-21","11:30:00","AKDT","KENAI_WQX-10000021","STORET-56412418",NA,NA,"Copper","Dissolved",0.52,"ug/l","Final","Actual","200.8","USEPA","Metals in Waters by ICP/MS",0,"https://www.nemi.gov/methods/method_summary/4665/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000021_2009-07-21_11%3A30%3A00/results/56412418/resdetectqntlmts","STORET","KBL","m",21,"KBL_m_21.0","River/Stream","Soldotna_Bridge",19020302,60.476634,-151.082099,"Interpolation-Satellite","NAD83","US",2,122,NA,"21",202,"Summer",31.54225,0.9422,-1.7,0.8545,-1.702,"0.96","0.96",4.72015275949187,3.48044341945993,NA,NA
"3","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000022_2012/07/31_11:58:00","2012-07-31","11:58:00","AKDT","KENAI_WQX-10000022","STORET-235148400",NA,NA,"Cadmium","Dissolved",0.103,"ug/l","Final","Actual","200.8","USEPA","Metals in Waters by ICP/MS",0,"https://www.nemi.gov/methods/method_summary/4665/","1-01-01 03:12:00","AKDT","https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000022_2012%2F07%2F31_11%3A58%3A00/results/235148400/resdetectqntlmts","STORET","KBL","t",22,"KBL_t_22.0","River/Stream","Soldotna_Creek",19020302,60.483364,-151.057656,"Interpolation-Satellite","NAD83","US",2,122,"Soldotna Creek","Soldotna Creek",213,"Summer",68.57091,1.0166,-3.924,0.7409,-4.719,"1.136672-[(ln hardness) (0.041838)]","1.101672-[(ln hardness)(0.041838)]",1.39515641205356,0.189235170404694,NA,NA
"4","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000023_07/22/2003_09:40:00","2003-07-22","09:40:00","AKDT","KENAI_WQX-10000023","STORET-56515660",NA,NA,"Chromium","Dissolved",1,"ug/l","Final","Actual","200.8(W)","USEPA","200.8 W  ~ Metals in Waters by ICP/MS",0,"https://www.nemi.gov/methods/method_summary/4665/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000023_07%2F22%2F2003_09%3A40%3A00/results/56515660/resdetectqntlmts","STORET","KBL","m",23,"KBL_m_23.0","River/Stream","Swiftwater_Park",19020302,60.480338,-151.030847,"Interpolation-Satellite","NAD83","US",2,122,NA,"23",203,"Summer",27.96663,0.819,3.7256,0.819,0.6848,"0.316","0.86",635.046890349386,30.353105623414,NA,NA
"5","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000023_07/25/2006_11:50:00","2006-07-25","11:50:00","AKDT","KENAI_WQX-10000023","STORET-56497489",NA,NA,"Chromium","Dissolved",1.43,"ug/l","Final","Actual","200.8(W)","USEPA","200.8 W  ~ Metals in Waters by ICP/MS",0,"https://www.nemi.gov/methods/method_summary/4665/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000023_07%2F25%2F2006_11%3A50%3A00/results/56497489/resdetectqntlmts","STORET","KBL","m",23,"KBL_m_23.0","River/Stream","Swiftwater_Park",19020302,60.480338,-151.030847,"Interpolation-Satellite","NAD83","US",2,122,NA,"23",206,"Summer",29.51328,0.819,3.7256,0.819,0.6848,"0.316","0.86",663.66946478171,31.7211684202893,NA,NA
"6","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000023_2012-05-01_12:22","2012-05-01","12:22:00","AKDT","KENAI_WQX-10000023","STORET-235123512",NA,NA,"Chromium","Dissolved",0.275,"ug/l","Final","Actual","200.7","USEPA","Metals in Water by ICP-AES",NA,"https://www.nemi.gov/methods/method_summary/4690/","1-01-01 06:10:00","AKDT","https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000023_2012-05-01_12%3A22/results/235123512/resdetectqntlmts","STORET","KBL","m",23,"KBL_m_23.0","River/Stream","Swiftwater_Park",19020302,60.480338,-151.030847,"Interpolation-Satellite","NAD83","US",2,122,NA,"23",122,"Spring",32.35581,0.819,3.7256,0.819,0.6848,"0.316","0.86",715.58039940831,34.2023365130335,NA,NA
"7","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000021_2012/07/31_11:11:00","2012-07-31","11:11:00","AKDT","KENAI_WQX-10000021","STORET-235148364",NA,NA,"Copper","Dissolved",0.941,"ug/l","Final","Actual","200.8","USEPA","Metals in Waters by ICP/MS",0,"https://www.nemi.gov/methods/method_summary/4665/","1-01-01 15:07:00","AKDT","https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000021_2012%2F07%2F31_11%3A11%3A00/results/235148364/resdetectqntlmts","STORET","KBL","m",21,"KBL_m_21.0","River/Stream","Soldotna_Bridge",19020302,60.476634,-151.082099,"Interpolation-Satellite","NAD83","US",2,122,NA,"21",213,"Summer",30.152145,0.9422,-1.7,0.8545,-1.702,"0.96","0.96",4.52390004836774,3.34894646218556,NA,NA
"8","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000025_07/18/2000_09:06:00","2000-07-18","09:06:00","AKDT","KENAI_WQX-10000025","STORET-56950066",NA,NA,"Copper","Dissolved",9,"ug/l","Final","Actual","200.8(W)","USEPA","200.8 W  ~ Metals in Waters by ICP/MS",0,"https://www.nemi.gov/methods/method_summary/4665/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000025_07%2F18%2F2000_09%3A06%3A00/results/56950066/resdetectqntlmts","STORET","KBL","m",31,"KBL_m_31.0","River/Stream","Morgans_Landing",19020302,60.498284,-150.863121,"Interpolation-Satellite","NAD83","US",2,122,NA,"31",200,"Summer",30.075,0.9422,-1.7,0.8545,-1.702,"0.96","0.96",4.51299373903066,3.34162343324991,"Y","Y"
"9","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000025_2007-05-01_11:23:00","2007-05-01","11:23:00","AKDT","KENAI_WQX-10000025","STORET-56497088",NA,NA,"Copper","Dissolved",0.649,"ug/l","Final","Actual","200.8(W)","USEPA","200.8 W  ~ Metals in Waters by ICP/MS",0,"https://www.nemi.gov/methods/method_summary/4665/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000025_2007-05-01_11%3A23%3A00/results/56497088/resdetectqntlmts","STORET","KBL","m",31,"KBL_m_31.0","River/Stream","Morgans_Landing",19020302,60.498284,-150.863121,"Interpolation-Satellite","NAD83","US",2,122,NA,"31",121,"Spring",29.14364,0.9422,-1.7,0.8545,-1.702,"0.96","0.96",4.38119459373896,3.25299550692141,NA,NA
"10","KENAI_WQX","Kenai Watershed Forum","KENAI_WQX-10000024_2009-04-28_12:48:00","2009-04-28","12:48:00","AKDT","KENAI_WQX-10000024","STORET-56660595",NA,NA,"Copper","Dissolved",1.55,"ug/l","Final","Actual","200.8","USEPA","Metals in Waters by ICP/MS",0,"https://www.nemi.gov/methods/method_summary/4665/",NA,NA,"https://www.waterqualitydata.us/data/providers/STORET/organizations/KENAI_WQX/activities/KENAI_WQX-10000024_2009-04-28_12%3A48%3A00/results/56660595/resdetectqntlmts","STORET","KBL","t",30,"KBL_t_30.0","River/Stream","Funny_River",19020302,60.489963,-150.860982,"Interpolation-Satellite","NAD83","US",2,122,"Funny River","Funny River",118,"Spring",24.55729,0.9422,-1.7,0.8545,-1.702,"0.96","0.96",3.72844198916966,2.81021777767298,NA,NA
